,address,name,company,salary,type,edubg,experience,welfareNum
1, 珠江路 ,电商客服4500+双休, 南京乐诊生物技术有限公司 ,4500-7000元/月,网络/在线客服,大专,不限,5
2, 南京 ,南京在线客服咨询（欢迎应届, 南京男健医院有限公司 ,5000-8000元/月,淘宝客服,中专,不限,2
3, 大行宫 ,话补+饭补+月薪过万高薪+销售, 南京齐馨阁文化传播有限公司 ,8000-12000元/月,销售代表,不限,不限,5
4, 南京 ,包住+五险一金+南京急招招生顾, 南京谐休教育咨询有限公司 ,5000-8000元/月,招生/课程顾问,大专,不限,4
5, 大行宫 ,你有梦想我提供舞台, 南京齐馨阁文化传播有限公司 ,5000-8000元/月,电话销售,不限,不限,5
6, 秦淮区 ,双休急招微商运营, 南京本草源 ,3000-5000元/月,网店运营,不限,不限,2
7, 茶南 ,话补+五险一金+售后专员, 南京曼塔克食品有限公司 ,面议,售前/售后服务,高中,1-2年,3
8, 滨江开… ,招聘采购人员兼发货, 南京宁力机械制造厂 ,3000-5000元/月,采购员,大专,不限,4
9, 东山 ,周末双休+五险一金+市场推广, 南京泓时企业管理有限公司 ,面议,市场经理/总监,大专,3-5年,4
10, 鼓楼周边 ,贷款催收专员（双休五险）, 南京卡罗帝亚贸易有限公司 ,5000-8000元/月,金融投资其他,技校,不限,3
11, 鼓楼区 ,新街口急聘医拍摄影师学。, 南京市鼓楼区梦之初摄影中心 ,3000-5000元/月,摄影师/摄像师,中专,不限,1
12, 应天西路 ,Java软件开发, 南京镭雅网络科技有限公司 ,面议,Java开发工程师,大专,1-2年,5
13, 建邺区 ,底薪4到8千健身咨询管家, 正势能健身 ,6000-12000元/月,运动健身其他,大专,不限,2
14, 中央门 ,游戏界面设计助理双休, 北京汇众益智科技有限公司南京… ,5000-8000元/月,游戏界面设计师,不限,不限,5
15, 浦口区 ,南京五险一金+业务员+包住全职, 南京然馨暖通工程有限公司 ,5000-8000元/月,销售代表,不限,不限,3
16, 鼓楼区 ,网络女主播（高薪包住）, 南京男博仕医疗投资管理有限公司 ,5000-8000元/月,主持人,中专,不限,5
17, 建邺区 ,客服（大堂助理）包吃住, 佳兆业物业管理（深圳）有限公… ,4500-5000元/月,客服专员/助理,中专,1年以下,2
18, 浦口区 ,桥北沃尔玛招聘网购主管, 沃尔玛（中国）投资有限公司 ,3000-5000元/月,客服经理/主管,大专,不限,3
19, 珠江路 ,周末双休+年底双薪+销售代表, 南京摩尔龙信息科技有限公司 ,8000-12000元/月,电话销售,高中,不限,3
20, 大行宫 ,话补+交通补助+饭补+展厅销售, 南京齐馨阁文化传播有限公司 ,8000-12000元/月,销售代表,不限,不限,5
21, 玄武门 ,高薪儿童影楼引导师+社保, 南京淘普儿童摄影有限公司 ,5000-8000元/月,摄影师/摄像师,不限,不限,5
22, 白下区 ,淘宝运营师助理应届生, 南京一科赛艇软件技术有限公司 ,3000-5000元/月,淘宝客服,高中,1年以下,3
23, 南京 ,信贷经理月薪8K, 宜信普惠信息咨询(北京)有限… ,8000-12000元/月,金融产品经理,大专,不限,3
24, 南京 ,电气工程师, 南京迦南比逊科技有限公司 ,5000-8000元/月,生产研发其他,大专,3-5年,3
25, 桥北 ,后场厨工切配粗加工包吃住, 南京市鼓楼区万诱引力火锅店 ,3700-5000元/月,配菜/打荷,不限,不限,3
26, 仙林 ,店长美甲师睫美师美容师, 南京关晓玲日用品店 ,5000-8000元/月,美容师,不限,1-2年,2
27, 南京 ,3K包住+五险招销售精英, 合肥秀一房地产营销策划有限公司 ,5000-8000元/月,置业顾问,不限,不限,5
28, 雨花台区 ,销售年薪30万等你来挑战, 南京利众置业投资集团有限公司 ,12000-20000元/月,房产经纪人,高中,不限,1
29, 珠江路 ,底薪8k年薪40万+五险, 南京梦诺园房地产经纪有限公司 ,9000-18000元/月,销售代表,不限,不限,5
